payment_id,sale_id,payment_date,payment_method,payment_status,amount
115,115,2025-05-07,Credit Card,Pending,117800.0
116,116,2025-03-06,Debit Card,Paid,32300.0
117,117,2025-08-27,Cash,Paid,56000.0
118,118,2025-03-25,Net Banking,Paid,58500.0
119,119,2025-10-22,Credit Card,Paid,4400.0
120,120,2025-10-31,Credit Card,Pending,6480.0
121,121,2025-12-17,Credit Card,Paid,63000.0
122,122,2025-09-30,Net Banking,Paid,6120.0
123,123,2025-01-07,UPI,Paid,9000.0
124,124,2025-11-22,Debit Card,Pending,9120.0
125,125,2025-09-25,Debit Card,Paid,4800.0
126,126,2025-08-27,Net Banking,Pending,13227.3
127,127,2025-05-06,Net Banking,Paid,1920.0
128,128,2025-10-19,Cash,Paid,20400.0
129,129,2025-09-11,Wallet,Paid,122400.0
130,130,2025-05-13,UPI,Paid,3600.0
131,131,2025-09-22,Wallet,Paid,230400.0
132,132,2025-10-12,Cash,Pending,70400.0
133,133,2025-01-09,Cash,Paid,3420.0
134,134,2025-06-06,Net Banking,Paid,68400.0
135,135,2025-08-06,Net Banking,Paid,20400.0
136,136,2025-05-19,UPI,Failed,0.0
137,137,2025-06-11,Net Banking,Pending,3798.1
138,138,2025-04-21,Debit Card,Paid,3150.0
139,139,2025-02-21,Net Banking,Failed,0.0
140,140,2025-06-04,Wallet,Paid,4320.0
141,141,2025-01-24,Debit Card,Paid,13600.0
142,142,2025-02-22,Debit Card,Paid,52800.0
143,143,2025-08-14,Cash,Failed,0.0
144,144,2025-02-28,Debit Card,Paid,25000.0
145,145,2025-03-19,Cash,Paid,15675.0
146,146,2025-03-02,Credit Card,Paid,8550.0
147,147,2025-09-25,Cash,Paid,8160.0
148,148,2025-06-06,Cash,Paid,16000.0
149,149,2025-04-17,Net Banking,Paid,35150.0
150,150,2025-05-03,Credit Card,Paid,17000.0
151,151,2025-07-29,Cash,Pending,18720.0
152,152,2025-01-17,UPI,Paid,3600.0
153,153,2025-12-18,UPI,Paid,47600.0
154,154,2025-02-28,Net Banking,Paid,41325.0
155,155,2025-02-06,Debit Card,Pending,189000.0
156,156,2025-08-13,Cash,Paid,5040.0
157,157,2025-09-14,Net Banking,Paid,2500.0
158,158,2025-08-10,Debit Card,Paid,5400.0
159,159,2025-02-16,Cash,Paid,14000.0
160,160,2025-12-11,Wallet,Pending,26400.0
161,161,2025-09-23,Credit Card,Paid,5440.0
162,162,2025-11-22,Cash,Failed,0.0
163,163,2025-06-20,Cash,Paid,12240.0
164,164,2025-07-30,Net Banking,Pending,10000.0
165,165,2025-08-21,Credit Card,Paid,5400.0
166,166,2025-07-26,Cash,Failed,0.0
167,167,2025-01-28,Net Banking,Pending,26000.0
168,168,2025-11-17,Debit Card,Paid,3240.0
169,169,2025-10-09,Credit Card,Paid,3600.0
170,170,2025-01-15,UPI,Paid,1620.0
171,171,2025-10-10,Wallet,Paid,8075.0
172,172,2025-02-28,Wallet,Paid,252000.0
173,173,2025-09-18,Cash,Paid,3840.0
174,174,2025-05-05,UPI,Pending,32300.0
175,175,2025-11-03,Net Banking,Paid,1799.1
176,176,2025-08-01,Debit Card,Paid,1620.0
177,177,2025-06-02,Credit Card,Paid,30400.0
178,178,2025-10-03,UPI,Pending,127500.0
179,179,2025-08-22,Net Banking,Paid,93500.0
180,180,2025-04-30,Debit Card,Pending,36000.0
181,181,2025-12-28,Net Banking,Failed,0.0
182,182,2025-03-06,Debit Card,Paid,15200.0
183,183,2025-02-21,Cash,Failed,0.0
184,184,2025-12-02,Wallet,Paid,151200.0
185,185,2025-11-16,Debit Card,Paid,63750.0
186,186,2025-06-12,Credit Card,Paid,12000.0
187,187,2025-11-13,Debit Card,Paid,44000.0
188,188,2025-08-11,UPI,Paid,6840.0
189,189,2025-12-22,UPI,Pending,186000.0
190,190,2025-05-31,Wallet,Paid,14250.0
191,191,2025-09-29,Credit Card,Paid,31350.0
192,192,2025-02-10,Debit Card,Paid,3520.0
193,193,2025-10-26,Credit Card,Pending,34800.0
194,194,2025-05-11,Net Banking,Failed,0.0
195,195,2025-02-07,Debit Card,Paid,76500.0
196,196,2025-12-20,Cash,Paid,2380.0
197,197,2025-09-05,Debit Card,Paid,99000.0
198,198,2025-10-22,UPI,Pending,4420.0
199,199,2025-05-21,Cash,Paid,66000.0
200,200,2025-05-27,Net Banking,Pending,41325.0
201,201,2025-11-22,Debit Card,Pending,6400.0
202,202,2025-11-18,Net Banking,Paid,216000.0
203,203,2025-10-24,Wallet,Paid,4409.1
204,204,2025-06-17,Cash,Paid,28500.0
205,205,2025-10-04,UPI,Paid,18525.0
206,206,2025-05-12,Net Banking,Paid,720.0
207,207,2025-02-08,Wallet,Paid,6480.0
208,208,2025-02-16,Net Banking,Paid,325000.0
209,209,2025-08-21,Credit Card,Paid,11900.0
210,210,2025-11-23,Credit Card,Paid,260000.0
211,211,2025-11-14,Credit Card,Paid,3600.0
212,212,2025-11-22,UPI,Paid,20800.0
213,213,2025-03-13,Credit Card,Paid,216000.0
214,214,2025-02-19,Cash,Paid,8960.0
215,215,2025-07-09,UPI,Paid,7596.2
216,216,2025-08-01,Wallet,Paid,276250.0
217,217,2025-05-24,Net Banking,Paid,8320.0
218,218,2025-08-16,UPI,Paid,20250.0
219,219,2025-02-01,Wallet,Paid,960.0
220,220,2025-02-16,Wallet,Paid,37000.0
221,221,2025-06-20,Credit Card,Paid,124000.0
222,222,2025-10-11,UPI,Paid,34200.0
223,223,2025-03-17,Wallet,Paid,123500.0
224,224,2025-10-04,Debit Card,Failed,0.0
225,225,2025-01-08,Net Banking,Paid,66000.0
226,226,2025-03-31,Wallet,Paid,232000.0
227,227,2025-02-02,Credit Card,Paid,16000.0
228,228,2025-08-20,Credit Card,Paid,13050.0
229,229,2025-08-23,Credit Card,Paid,210800.0
230,230,2025-08-07,Wallet,Pending,260000.0
231,231,2025-02-11,Cash,Paid,855.0
232,232,2025-05-21,Credit Card,Pending,32400.0
233,233,2025-07-15,UPI,Paid,22100.0
234,234,2025-02-20,UPI,Paid,119000.0
235,235,2025-08-20,Credit Card,Paid,51000.0
236,236,2025-08-01,Wallet,Paid,234000.0
237,237,2025-12-07,UPI,Failed,0.0
238,238,2025-02-16,UPI,Paid,64800.0
239,239,2025-03-08,Debit Card,Paid,261000.0
240,240,2025-12-10,Net Banking,Pending,60000.0
241,241,2025-05-28,Cash,Paid,4275.0
242,242,2025-03-21,Debit Card,Pending,630.0
243,243,2025-10-12,Debit Card,Paid,332500.0
244,244,2025-08-08,Cash,Paid,62500.0
245,245,2025-11-08,UPI,Paid,4940.0
246,246,2025-05-20,UPI,Pending,4860.0
247,247,2025-01-04,Wallet,Pending,168000.0
248,248,2025-03-14,Wallet,Paid,6840.0
249,249,2025-07-12,Wallet,Paid,2520.0
250,250,2025-06-09,Cash,Paid,9000.0
251,251,2025-01-27,Cash,Paid,42000.0
252,252,2025-05-20,Cash,Paid,21760.0
253,253,2025-08-01,UPI,Paid,33300.0
254,254,2025-08-09,UPI,Paid,3240.0
255,255,2025-01-24,UPI,Paid,25000.0
256,256,2025-04-15,Credit Card,Paid,99900.0
257,257,2025-06-17,Cash,Paid,247000.0
258,258,2025-03-08,Credit Card,Paid,12600.0
259,259,2025-02-06,Cash,Failed,0.0
260,260,2025-08-24,UPI,Paid,6120.0
261,261,2025-12-30,UPI,Paid,12750.0
262,262,2025-01-11,Wallet,Paid,151200.0
263,263,2025-02-15,Credit Card,Paid,221000.0
264,264,2025-09-26,UPI,Failed,0.0
265,265,2025-06-20,Cash,Paid,210000.0
266,266,2025-09-29,Credit Card,Paid,62700.0
267,267,2025-05-01,Cash,Paid,79800.0
268,268,2025-11-05,Wallet,Paid,2880.0
269,269,2025-08-26,UPI,Paid,59400.0
270,270,2025-11-18,UPI,Failed,0.0
271,271,2025-08-15,Debit Card,Paid,22500.0
272,272,2025-06-30,Cash,Failed,0.0
273,273,2025-01-20,Credit Card,Paid,7500.0
274,274,2025-11-11,UPI,Paid,7200.0
275,275,2025-08-19,UPI,Pending,13200.0
276,276,2025-09-14,Credit Card,Paid,52200.0
277,277,2025-02-13,Credit Card,Paid,5225.0
278,278,2025-12-29,Net Banking,Paid,15200.0
279,279,2025-07-06,Net Banking,Paid,3240.0
280,280,2025-12-14,Net Banking,Failed,0.0
281,281,2025-02-18,Cash,Paid,7560.0
282,282,2025-12-03,Debit Card,Pending,39900.0
283,283,2025-06-29,Wallet,Paid,11000.0
284,284,2025-06-08,Cash,Paid,4400.0
285,285,2025-11-27,Net Banking,Paid,4800.0
286,286,2025-07-05,Debit Card,Paid,163200.0
287,287,2025-04-09,Wallet,Paid,55800.0
288,288,2025-02-21,Debit Card,Paid,62500.0
289,289,2025-12-05,UPI,Pending,21250.0
290,290,2025-03-20,Debit Card,Failed,0.0
291,291,2025-01-23,Cash,Paid,27000.0
292,292,2025-08-18,Credit Card,Failed,0.0
293,293,2025-04-10,Debit Card,Pending,8960.0
294,294,2025-05-25,UPI,Paid,9350.0
295,295,2025-03-24,Net Banking,Failed,0.0
296,296,2025-11-25,Net Banking,Failed,0.0
297,297,2025-05-26,Cash,Paid,4320.0
298,298,2025-09-20,Wallet,Failed,0.0
299,299,2025-06-28,Credit Card,Paid,54000.0
300,300,2025-05-01,Wallet,Paid,144000.0
301,301,2025-06-13,Cash,Paid,4560.0
302,302,2025-01-20,Debit Card,Paid,2240.0
303,303,2025-11-12,Net Banking,Failed,0.0
304,304,2025-03-18,Credit Card,Pending,20820.75
305,305,2025-02-26,UPI,Paid,2700.0
306,306,2025-01-25,Wallet,Paid,60000.0
307,307,2025-02-26,Wallet,Paid,855.0
308,308,2025-03-15,Credit Card,Failed,0.0
309,309,2025-05-04,Debit Card,Paid,13500.0
310,310,2025-02-04,UPI,Paid,14000.0
311,311,2025-07-19,Wallet,Paid,145800.0
312,312,2025-01-09,UPI,Pending,112000.0
313,313,2025-10-25,UPI,Paid,3600.0
314,314,2025-06-30,Debit Card,Paid,3520.0
315,315,2025-11-20,Debit Card,Paid,248000.0
316,316,2025-05-31,Credit Card,Paid,48600.0
317,317,2025-06-08,Cash,Paid,90000.0
318,318,2025-01-19,Net Banking,Paid,14850.0
319,319,2025-01-25,Net Banking,Paid,990.0
320,320,2025-08-12,UPI,Pending,7196.4
321,321,2025-04-06,Net Banking,Failed,0.0
322,322,2025-02-12,Debit Card,Paid,6080.0
323,323,2025-10-07,Wallet,Paid,1620.0
324,324,2025-12-05,Debit Card,Failed,0.0
325,325,2025-03-27,Credit Card,Paid,12800.0
326,326,2025-06-30,UPI,Paid,1600.0
327,327,2025-12-10,Net Banking,Paid,118750.0
328,328,2025-01-16,Cash,Paid,855.0
329,329,2025-02-04,Debit Card,Paid,31875.0
330,330,2025-10-18,Credit Card,Failed,0.0
331,331,2025-07-10,Cash,Paid,8550.0
332,332,2025-09-29,Cash,Paid,71250.0
333,333,2025-02-28,Credit Card,Paid,6796.6
334,334,2025-10-15,Cash,Paid,106400.0
335,335,2025-11-10,UPI,Paid,10400.0
336,336,2025-03-11,Net Banking,Paid,12800.0
337,337,2025-12-16,Cash,Paid,6120.0
338,338,2025-06-03,Cash,Paid,6840.0
339,339,2025-03-04,UPI,Paid,248000.0
340,340,2025-07-04,UPI,Paid,62700.0
341,341,2025-11-10,Cash,Pending,179200.0
342,342,2025-09-27,Net Banking,Paid,62500.0
343,343,2025-03-06,Wallet,Paid,17600.0
344,344,2025-12-15,Net Banking,Failed,0.0
345,345,2025-03-08,Credit Card,Failed,0.0
346,346,2025-06-05,Debit Card,Paid,75600.0
347,347,2025-09-23,Net Banking,Pending,129600.0
348,348,2025-03-06,Debit Card,Failed,0.0
349,349,2025-09-15,Wallet,Paid,199500.0
350,350,2025-03-29,Debit Card,Paid,9600.0
351,351,2025-01-15,Credit Card,Paid,153900.0
352,352,2025-10-20,Credit Card,Paid,11520.0
353,353,2025-11-25,UPI,Paid,2520.0
354,354,2025-08-21,UPI,Paid,8320.0
355,355,2025-08-01,Credit Card,Paid,3990.0
356,356,2025-06-10,UPI,Failed,0.0
357,357,2025-07-09,Credit Card,Pending,24225.0
358,358,2025-08-27,Cash,Paid,2280.0
359,359,2025-02-19,Credit Card,Pending,3825.0
360,360,2025-05-08,Net Banking,Paid,5130.0
361,361,2025-03-23,Cash,Failed,0.0
362,362,2025-09-12,Net Banking,Failed,0.0
363,363,2025-05-04,UPI,Paid,19000.0
364,364,2025-05-25,UPI,Paid,2700.0
365,365,2025-02-25,UPI,Paid,158100.0
366,366,2025-07-07,Debit Card,Pending,118750.0
367,367,2025-07-05,UPI,Failed,0.0
368,368,2025-10-09,Wallet,Paid,3040.0
369,369,2025-02-19,Credit Card,Paid,33750.0
370,370,2025-03-15,Net Banking,Failed,0.0
371,371,2025-01-24,Wallet,Paid,198400.0
372,372,2025-03-18,Cash,Paid,4860.0
373,373,2025-03-25,Cash,Failed,0.0
374,374,2025-09-17,Cash,Pending,12600.0
375,375,2025-09-01,Wallet,Paid,6375.0
376,376,2025-10-26,Wallet,Paid,19596.0
377,377,2025-05-16,Cash,Failed,0.0
378,378,2025-01-27,Wallet,Paid,2975.0
379,379,2025-03-17,UPI,Failed,0.0
380,380,2025-04-08,UPI,Paid,12160.0
381,381,2025-07-31,Credit Card,Paid,148000.0
382,382,2025-02-01,Wallet,Failed,0.0
383,383,2025-12-06,Wallet,Paid,18525.0
384,384,2025-08-24,Net Banking,Failed,0.0
385,385,2025-11-09,Debit Card,Paid,59400.0
386,386,2025-04-26,Cash,Pending,20000.0
387,387,2025-06-12,Debit Card,Failed,0.0
388,388,2025-03-04,Cash,Paid,9520.0
389,389,2025-06-26,Net Banking,Paid,37800.0
390,390,2025-02-10,Wallet,Pending,12160.0
391,391,2025-04-14,UPI,Pending,3420.0
392,392,2025-02-25,Net Banking,Paid,3798.1
393,393,2025-01-26,Wallet,Pending,13000.0
394,394,2025-02-21,Net Banking,Paid,1045.0
395,395,2025-01-03,Wallet,Pending,134400.0
396,396,2025-11-30,UPI,Pending,4860.0
397,397,2025-11-27,Wallet,Paid,59375.0
398,398,2025-10-01,Wallet,Paid,8328.3
399,399,2025-04-01,Cash,Pending,45000.0
400,400,2025-01-20,Debit Card,Paid,22500.0
401,401,2025-06-21,Cash,Paid,5600.0
402,402,2025-03-10,Wallet,Paid,2800.0
403,403,2025-06-19,Debit Card,Failed,0.0
404,404,2025-01-08,Net Banking,Pending,5225.0
405,405,2025-03-31,Wallet,Pending,25920.0
406,406,2025-02-14,Credit Card,Paid,12920.0
407,407,2025-09-02,UPI,Paid,56100.0
408,408,2025-05-01,UPI,Paid,4860.0
409,409,2025-10-26,UPI,Pending,44550.0
410,410,2025-12-21,Debit Card,Paid,208800.0
411,411,2025-03-23,Wallet,Paid,8400.0
412,412,2025-11-24,UPI,Paid,14250.0
413,413,2025-03-10,Net Banking,Failed,0.0
414,414,2025-08-01,Credit Card,Paid,40375.0
415,415,2025-05-07,Cash,Pending,1440.0
416,416,2025-09-28,Net Banking,Paid,37500.0
417,417,2025-02-01,Wallet,Failed,0.0
418,418,2025-03-26,Cash,Paid,6175.0
419,419,2025-10-26,Credit Card,Pending,288000.0
420,420,2025-08-21,Net Banking,Failed,0.0
421,421,2025-10-14,Debit Card,Paid,2380.0
422,422,2025-05-11,Net Banking,Paid,9995.0
423,423,2025-01-24,Cash,Failed,0.0
424,424,2025-02-05,Debit Card,Failed,0.0
425,425,2025-03-11,Wallet,Paid,14025.0
426,426,2025-08-18,Credit Card,Paid,10450.0
427,427,2025-12-01,UPI,Paid,297500.0
428,428,2025-09-28,Wallet,Failed,0.0
429,429,2025-06-02,Wallet,Paid,9520.0
430,430,2025-04-28,Wallet,Pending,2520.0
431,431,2025-04-07,Debit Card,Paid,1530.0
432,432,2025-11-11,Credit Card,Paid,124000.0
433,433,2025-02-21,Wallet,Paid,270000.0
434,434,2025-05-06,Wallet,Paid,205200.0
435,435,2025-10-04,Cash,Failed,0.0
436,436,2025-04-30,Credit Card,Failed,0.0
437,437,2025-05-02,Credit Card,Pending,71400.0
438,438,2025-06-03,Wallet,Pending,275500.0
439,439,2025-11-17,Cash,Paid,6400.0
440,440,2025-06-26,Wallet,Pending,30600.0
441,441,2025-12-23,Cash,Paid,38250.0
442,442,2025-04-05,Debit Card,Paid,5320.0
443,443,2025-06-03,Wallet,Paid,35700.0
444,444,2025-08-02,Wallet,Pending,24700.0
445,445,2025-05-11,Credit Card,Paid,3960.0
446,446,2025-02-17,Cash,Paid,4409.1
447,447,2025-07-13,Cash,Failed,0.0
448,448,2025-04-07,Debit Card,Paid,30400.0
449,449,2025-04-17,Wallet,Paid,8550.0
450,450,2025-03-02,Cash,Paid,3420.0
451,451,2025-07-23,UPI,Failed,0.0
452,452,2025-08-27,Cash,Paid,14850.0
453,453,2025-07-04,UPI,Paid,2000.0
454,454,2025-06-13,UPI,Paid,30000.0
455,455,2025-10-16,Debit Card,Failed,0.0
456,456,2025-10-11,Debit Card,Paid,54150.0
457,457,2025-04-11,Wallet,Paid,68875.0
458,458,2025-09-13,Wallet,Pending,13200.0
459,459,2025-11-25,Net Banking,Failed,0.0
460,460,2025-03-28,Wallet,Paid,18616.2
461,461,2025-10-05,Wallet,Pending,58000.0
462,462,2025-12-09,Wallet,Paid,6840.0
463,463,2025-11-19,UPI,Paid,53200.0
464,464,2025-09-16,Credit Card,Paid,30000.0
465,465,2025-12-04,Cash,Failed,0.0
466,466,2025-01-07,Wallet,Paid,29250.0
467,467,2025-01-09,Cash,Paid,10400.0
468,468,2025-02-19,UPI,Failed,0.0
469,469,2025-07-01,Wallet,Paid,63750.0
470,470,2025-08-24,Debit Card,Paid,66000.0
471,471,2025-12-01,Net Banking,Paid,1530.0
472,472,2025-07-14,Wallet,Paid,8500.0
473,473,2025-12-26,Debit Card,Paid,259200.0
474,474,2025-10-17,UPI,Paid,12350.0
475,475,2025-12-21,Net Banking,Paid,700.0
476,476,2025-12-17,Net Banking,Paid,2660.0
477,477,2025-06-11,Net Banking,Paid,62900.0
478,478,2025-02-09,Net Banking,Paid,71400.0
479,479,2025-12-13,Cash,Paid,2200.0
480,480,2025-09-14,Cash,Failed,0.0
481,481,2025-04-29,Credit Card,Paid,4675.0
482,482,2025-06-17,Debit Card,Paid,23040.0
483,483,2025-04-27,Debit Card,Paid,32300.0
484,484,2025-12-15,Cash,Failed,0.0
485,485,2025-05-07,Cash,Failed,0.0
486,486,2025-07-14,Cash,Paid,25920.0
487,487,2025-07-04,Debit Card,Paid,172800.0
488,488,2025-07-04,Cash,Pending,2400.0
489,489,2025-04-06,Credit Card,Paid,13600.0
490,490,2025-02-22,UPI,Paid,360000.0
491,491,2025-11-02,UPI,Failed,0.0
492,492,2025-07-31,Credit Card,Paid,59375.0
493,493,2025-10-20,UPI,Paid,79800.0
494,494,2025-05-18,Cash,Paid,2400.0
495,495,2025-03-27,Wallet,Failed,0.0
496,496,2025-02-09,Wallet,Paid,106400.0
497,497,2025-08-23,Cash,Paid,52700.0
498,498,2025-06-20,UPI,Failed,0.0
499,499,2025-08-09,UPI,Paid,2430.0
500,500,2025-11-05,Debit Card,Paid,62700.0
501,501,2025-07-23,Cash,Pending,4275.0
502,502,2025-06-16,Wallet,Paid,3600.0
503,503,2025-10-16,Debit Card,Paid,38000.0
504,504,2025-08-25,UPI,Paid,111000.0
505,505,2025-07-29,Net Banking,Paid,7125.0
506,506,2025-05-10,UPI,Paid,168000.0
507,507,2025-08-18,Cash,Paid,2380.0
508,508,2025-10-06,Net Banking,Paid,37500.0
509,509,2025-02-25,UPI,Paid,44000.0
510,510,2025-10-16,Debit Card,Paid,7140.0
511,511,2025-02-24,Wallet,Paid,123500.0
512,512,2025-08-17,Credit Card,Paid,118750.0
513,513,2025-06-26,Net Banking,Paid,1785.0
514,514,2025-02-13,Debit Card,Paid,13227.3
515,515,2025-06-25,Net Banking,Paid,133200.0
516,516,2025-09-01,Net Banking,Paid,9600.0
517,517,2025-06-03,Credit Card,Paid,2160.0
518,518,2025-11-28,Debit Card,Paid,5320.0
519,519,2025-10-10,Wallet,Paid,3520.0
520,520,2025-04-29,Net Banking,Paid,12240.0
521,521,2025-07-22,Debit Card,Paid,3198.4
522,522,2025-10-31,Credit Card,Paid,4180.0
523,523,2025-05-23,Cash,Paid,12000.0
524,524,2025-10-02,Cash,Paid,12000.0
525,525,2025-02-28,Cash,Failed,0.0
526,526,2025-11-02,Debit Card,Paid,16000.0
527,527,2025-06-28,Wallet,Paid,2520.0
528,528,2025-11-11,UPI,Paid,216000.0
529,529,2025-05-03,Cash,Failed,0.0
530,530,2025-09-19,UPI,Paid,25500.0
531,531,2025-08-05,Debit Card,Pending,4750.0
532,532,2025-09-08,Net Banking,Paid,148800.0
533,533,2025-11-14,Net Banking,Pending,114000.0
534,534,2025-04-10,Credit Card,Pending,28900.0
535,535,2025-12-17,UPI,Paid,57000.0
536,536,2025-02-12,Wallet,Paid,186000.0
537,537,2025-05-21,Net Banking,Paid,4480.0
538,538,2025-10-17,Wallet,Paid,62500.0
539,539,2025-10-21,Debit Card,Pending,3600.0
540,540,2025-08-14,Credit Card,Pending,35150.0
541,541,2025-06-02,Credit Card,Paid,9600.0
542,542,2025-08-13,Credit Card,Pending,22500.0
543,543,2025-12-30,Cash,Failed,0.0
544,544,2025-04-16,UPI,Failed,0.0
545,545,2025-11-02,Cash,Pending,113400.0
546,546,2025-10-21,UPI,Pending,3060.0
547,547,2025-01-31,Cash,Paid,10450.0
548,548,2025-03-16,Wallet,Failed,0.0
549,549,2025-03-14,Credit Card,Paid,24480.0
550,550,2025-08-20,Wallet,Paid,25920.0
551,551,2025-12-22,Credit Card,Pending,4200.0
552,552,2025-02-17,Debit Card,Paid,1190.0
553,553,2025-04-22,Credit Card,Paid,99900.0
554,554,2025-05-26,Cash,Paid,13600.0
555,555,2025-06-25,Net Banking,Paid,1800.0
556,556,2025-11-17,Net Banking,Paid,99200.0
557,557,2025-08-22,Debit Card,Paid,2880.0
558,558,2025-03-23,Net Banking,Paid,216000.0
559,559,2025-07-10,UPI,Pending,4675.0
